Diseases,DiseasesGroups,Number of Cases,Social History,Family History,Adhd,Alcohol Dependency,Analgesic,Antacid (H2),Antidiabetic ,Anticoagulant,Antibiotic ,Antidepressant,Antiepileptic,Antifungal,Antihistamine,Antihypertensive,High Blood Pressure,Cholesterol,Depression,High Blood Pressure,Hormone replacement,"Ulcer, Heartburn",Discharge Condition
emerging infectious diseas,Infectious Diseases,21,Cluster 3,Cluster 9,0.9,0,0,9,1,1,87,55,0,0,0,87,2,0,0,1,0,0,Stable
escherichia,Infectious Diseases,4,Cluster 1,Cluster 1,2.1,0,0,9,3,2,86,66,1,1,0,86,3,0,0,2,0,0,Stable
trichuriasi,Infectious Diseases,2,Cluster 1,Cluster 2,1.1,0,0,7,2,2,89,50,0,0,1,89,2,0,0,1,0,0,Stable
cryptococcosi,Infectious Diseases,0,Cluster 1,Cluster 4,0.6,0,0,6,2,4,83,78,1,2,1,83,5,0,0,1,0,0,Stable
blastocysti,Infectious Diseases,0,Cluster 1,Cluster 1,0.3,0,0,8,1,2,87,61,1,1,0,87,3,0,0,0,0,0,Stable
balantidiasi,Infectious Diseases,7,Cluster 2,Cluster 2,0.7,0,0,9,1,2,85,67,1,1,0,85,3,0,0,1,0,0,Transfer
acanthamoeba,Infectious Diseases,0,Cluster 1,Cluster 1,1.1,0,0,9,2,1,87,59,0,0,0,87,3,0,0,1,0,0,Stable
rocky mountain,Infectious Diseases,0,Cluster 1,Cluster 2,1.2,0,0,9,2,1,86,61,0,1,0,86,2,0,0,1,0,0,Stable
chapar,Infectious Diseases,0,Cluster 1,Cluster 3,1.1,0,0,12,0,2,82,81,1,1,0,82,4,0,0,1,0,0,Stable
molluscum,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,8,0,0,91,33,0,0,0,91,1,0,0,0,0,0,Stable
b viru,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,10,0,0,89,41,0,0,0,89,1,0,0,0,0,0,Stable
trypanosoma,Infectious Diseases,87,Cluster 1,Cluster 1,1.5,0,0,8,1,2,87,60,1,1,0,87,2,0,0,2,0,0,Transfer
leishmania,Infectious Diseases,0,Cluster 4,Cluster 7,1.2,0,0,12,1,2,82,78,1,1,0,82,4,0,0,1,0,0,Stable
murin,Infectious Diseases,0,Cluster 1,Cluster 1,1.1,0,0,11,3,1,84,68,1,0,0,84,3,0,0,1,0,0,Stable
anisakiasi,Infectious Diseases,526,Cluster 1,Cluster6,0,0,0,11,0,1,82,75,0,0,0,82,5,0,0,0,0,0,Stable
brucellosi,Infectious Diseases,16,Cluster 1,Cluster 1,1.3,0,0,11,5,2,84,74,1,1,0,84,3,0,0,1,0,0,Stable
psittacosi,Infectious Diseases,0,Cluster 5,Cluster 2,1,0,0,10,1,1,87,56,0,0,0,87,2,0,0,1,0,0,Stable
parainfluenza,Infectious Diseases,5,Cluster 1,Cluster 1,0.9,0,0,8,2,1,88,52,0,0,0,88,2,0,0,1,0,0,Transfer
rubeola,Infectious Diseases,0,Cluster 2,Cluster 1,0.8,0,0,8,1,2,86,60,1,1,0,86,4,0,0,1,0,0,Stable
rift valley,Infectious Diseases,0,Cluster 1,Cluster 2,1.7,0,0,9,2,3,86,69,1,1,0,86,2,0,0,2,0,0,Stable
clostridium perfringen,Infectious Diseases,197,Cluster 1,Cluster 3,1.3,0,0,9,2,4,85,77,1,1,0,85,2,0,0,1,0,0,Stable
spongiform,Infectious Diseases,0,Cluster 1,Cluster 4,1.3,0,0,9,2,4,85,77,1,1,0,85,2,0,0,1,0,0,Stable
herpes zost,Infectious Diseases,50,Cluster 1,Cluster 5,1.1,0,0,9,1,1,88,53,0,0,0,88,2,0,0,1,0,0,Stable
b. cepacia,Infectious Diseases,0,Cluster 2,Cluster 6,0,0,0,8,0,1,89,48,0,0,0,89,2,0,0,0,0,0,Transfer
pinworm,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,8,0,1,89,48,0,0,0,89,2,0,0,0,0,0,Stable
covid-19,Infectious Diseases,9,Cluster 1,Cluster 8,1,0,0,9,1,2,87,60,0,1,0,87,2,0,0,1,0,0,Stable
septic shock,Infectious Diseases,0,Cluster 1,Cluster 9,1.6,0,0,8,1,2,87,59,1,1,0,87,2,0,0,2,0,0,Stable
pseudomonas dermat,Infectious Diseases,0,Cluster 2,Cluster 1,1.1,0,0,7,1,2,89,51,1,1,0,89,2,0,0,1,0,0,Stable
rickettsii,Infectious Diseases,145,Cluster 3,Cluster 2,1.1,0,0,7,1,2,89,52,1,1,0,89,2,0,0,1,0,0,Stable
syphili,Infectious Diseases,0,Cluster 1,Cluster 4,1.1,0,0,8,0,2,89,52,0,0,0,89,2,0,0,1,0,0,Transfer
adenoviru,Infectious Diseases,1,Cluster 1,Cluster 1,1.1,0,0,7,0,1,90,44,0,0,0,90,1,0,0,1,0,0,Stable
bacterial mening,Infectious Diseases,0,Cluster 1,Cluster 2,0.9,0,0,8,1,2,89,53,0,1,0,89,2,0,0,1,0,0,Stable
impetigo,Infectious Diseases,0,Cluster 1,Cluster 1,1.5,0,0,8,2,1,89,48,0,0,0,89,2,0,0,2,0,0,Stable
dwarf tapeworm,Infectious Diseases,38,Cluster 2,Cluster 2,0,0,0,8,0,3,82,80,0,0,0,82,5,0,0,0,0,0,Stable
hfmd,Infectious Diseases,0,Cluster 1,Cluster 3,2.1,0,0,8,2,2,87,59,0,1,0,87,2,0,0,2,0,0,Stable
chikungunya,Infectious Diseases,67,Cluster 1,Cluster 1,1.1,0,0,9,0,2,86,64,0,0,0,86,2,0,0,1,0,0,Transfer
glander,Infectious Diseases,48,Cluster 1,Cluster 3,1.1,0,0,8,0,3,87,63,0,0,0,87,2,0,0,1,0,0,Stable
ascariasi,Infectious Diseases,0,Cluster 3,Cluster 1,1.4,0,0,15,12,0,84,64,0,0,0,84,0,0,0,1,0,0,Stable
pink ey,Infectious Diseases,0,Cluster 1,Cluster 7,1.1,0,0,19,13,0,80,70,0,0,0,80,0,0,0,1,0,0,Stable
monkeypox,Infectious Diseases,0,Cluster 1,Cluster 1,2,0,0,17,15,0,82,73,0,0,0,82,1,0,0,2,0,0,Stable
trichomoniasi,Infectious Diseases,0,Cluster 4,Cluster6,1.8,0,0,17,9,0,83,62,0,0,0,83,0,0,0,2,0,0,Stable
dog heartworm,Infectious Diseases,0,Cluster 1,Cluster 1,1.8,0,0,16,14,0,83,61,0,0,0,83,0,0,0,2,0,0,Transfer
listeria,Infectious Diseases,0,Cluster 1,Cluster 2,2.1,0,0,15,13,0,84,58,0,0,0,84,0,0,0,2,0,0,Stable
acquired immune deficiency syndrom,Infectious Diseases,13,Cluster 1,Cluster 1,2.1,0,0,16,13,0,84,58,0,0,0,84,0,0,0,2,0,0,Stable
trench fev,Infectious Diseases,0,Cluster 5,Cluster 1,1.8,0,0,12,9,0,87,47,0,0,0,87,0,0,0,2,0,0,Stable
epstein-barr,Infectious Diseases,0,Cluster 1,Cluster 2,1.8,0,0,12,9,0,88,44,0,0,0,88,0,0,0,2,0,0,Stable
chickenpox,Infectious Diseases,1,Cluster 2,Cluster 3,1.1,0,0,14,11,0,86,51,0,0,0,86,0,0,0,1,0,0,Stable
ebolaviru,Infectious Diseases,0,Cluster 1,Cluster 4,1.1,0,0,14,11,0,86,51,0,0,0,86,0,0,0,1,0,0,Transfer
legionellosi,Infectious Diseases,0,Cluster 1,Cluster 5,1.5,0,0,11,0,0,89,39,0,0,0,89,0,0,0,2,0,0,Stable
dientamoebafragili,Infectious Diseases,0,Cluster 1,Cluster 6,1.5,0,0,10,0,0,90,37,0,0,0,90,0,0,0,2,0,0,Stable
scrub typhu,Infectious Diseases,0,Cluster 1,Cluster 7,1.6,0,0,16,4,0,83,66,0,0,0,83,0,0,0,2,0,0,Stable
babesiosi,Infectious Diseases,0,Cluster 2,Cluster 8,1.7,0,0,10,8,0,90,37,0,0,0,90,0,0,0,2,0,0,Stable
kala-azar,Infectious Diseases,0,Cluster 1,Cluster 9,1.7,0,0,11,10,0,89,41,0,0,0,89,0,0,0,2,0,0,Transfer
spongiform encephalopathi,Infectious Diseases,0,Cluster 1,Cluster 1,1.5,0,0,17,1,0,82,63,0,0,0,82,0,0,0,2,0,0,Transfer
river blind,Infectious Diseases,0,Cluster 1,Cluster 2,1.5,0,0,16,1,0,83,60,0,0,0,83,0,0,0,2,0,0,Stable
pertussi,Infectious Diseases,0,Cluster 2,Cluster 4,1.6,0,0,18,8,0,81,68,0,0,0,81,0,0,0,2,0,0,Transfer
sporotrichosi,Infectious Diseases,341,Cluster 3,Cluster 1,1.6,0,0,18,11,0,82,65,0,0,0,82,0,0,0,2,0,0,Stable
strep,Infectious Diseases,0,Cluster 1,Cluster 2,1.4,0,0,19,13,0,79,83,0,0,0,79,1,0,0,1,0,0,Stable
melioidosi,Infectious Diseases,8,Cluster 1,Cluster 1,1.6,0,0,18,7,0,82,67,0,0,0,82,0,0,0,2,0,0,Stable
trypanosomiasi,Infectious Diseases,2,Cluster 1,Cluster 2,1.6,0,0,15,0,0,84,56,0,0,0,84,0,0,0,2,0,0,Stable
ntd,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,17,0,0,83,63,0,0,0,83,0,0,0,0,0,0,Stable
carbapenem-resistant enterobacteral,Infectious Diseases,0,Cluster 2,Cluster 1,1.4,0,0,19,0,0,81,70,0,0,0,81,0,0,0,1,0,0,Transfer
sappinia,Infectious Diseases,98,Cluster 1,Cluster 3,1.3,0,0,14,12,0,84,65,0,0,0,84,1,0,0,1,0,0,Stable
rickettsiifrancisellatularensi,Infectious Diseases,0,Cluster 1,Cluster 1,1.3,0,0,14,12,0,84,65,0,0,0,84,1,0,0,1,0,0,Stable
rostratum,Infectious Diseases,11,Cluster 1,Cluster 7,2.6,0,0,11,7,0,88,44,0,0,0,88,0,0,0,3,0,0,Stable
cytomegaloviru,Infectious Diseases,0,Cluster 3,Cluster 1,2.6,0,0,11,8,0,89,41,0,0,0,89,0,0,0,3,0,0,Stable
vibrio,Infectious Diseases,0,Cluster 1,Cluster6,3.6,0,0,12,7,0,88,44,0,0,0,88,0,0,0,4,0,0,Stable
dientamoeba,Infectious Diseases,93,Cluster 1,Cluster 1,3.6,0,0,11,7,0,88,42,0,0,0,88,0,0,0,4,0,0,Transfer
leptospirosi,Infectious Diseases,1,Cluster 4,Cluster 2,1.2,0,0,21,14,0,79,74,0,0,0,79,0,0,0,1,0,0,Stable
burkholderia mallei,Infectious Diseases,0,Cluster 1,Cluster 1,1.2,0,0,20,13,0,80,71,0,0,0,80,0,0,0,1,0,0,Stable
multidrug-resistant tb,Infectious Diseases,0,Cluster 1,Cluster 1,2.7,0,0,19,11,0,80,70,0,0,0,80,1,0,0,3,0,0,Stable
germanmeasl,Infectious Diseases,0,Cluster 1,Cluster 2,2.7,0,0,19,11,0,80,69,0,0,0,80,1,0,0,3,0,0,Stable
chlamydia trachomati,Infectious Diseases,0,Cluster 5,Cluster 3,0.4,0,0,16,9,0,83,69,0,0,0,83,0,0,0,0,0,0,Stable
sleeping sick,Infectious Diseases,0,Cluster 1,Cluster 4,0.6,0,0,15,9,0,84,66,0,0,0,84,0,0,0,1,0,0,Transfer
neurocysticercosi,Infectious Diseases,2,Cluster 2,Cluster 5,1.3,0,0,6,1,0,93,29,0,0,0,93,1,0,0,1,0,0,Stable
cercari,Infectious Diseases,28,Cluster 1,Cluster 6,0,0,0,87,57,0,13,347,0,0,0,13,0,0,0,0,0,0,Stable
bacterial vaginosi,Infectious Diseases,1,Cluster 1,Cluster 7,0.1,0,0,12,11,0,88,47,0,0,0,88,0,0,0,0,0,0,Stable
powassanviru,Infectious Diseases,0,Cluster 1,Cluster 8,0.3,0,0,11,11,0,88,47,0,0,0,88,0,0,0,0,0,0,Stable
rabi,Infectious Diseases,0,Cluster 1,Cluster 9,0.1,0,0,10,9,0,90,41,0,0,0,90,0,0,0,0,0,0,Stable
dog bit,Infectious Diseases,0,Cluster 2,Cluster 1,0.1,0,0,11,11,0,88,46,0,0,0,88,0,0,0,0,0,0,Transfer
tickborne diseas,Infectious Diseases,0,Cluster 1,Cluster 2,0.1,0,0,11,10,0,89,43,0,0,0,89,0,0,0,0,0,0,Stable
h5n1,Infectious Diseases,16,Cluster 1,Cluster 4,0.1,0,0,12,12,0,87,49,0,0,0,87,0,0,0,0,0,0,Stable
auri,Infectious Diseases,0,Cluster 1,Cluster 1,0.1,0,0,18,11,0,81,72,0,0,0,81,0,0,0,0,0,0,Stable
intestinal protozoa,Infectious Diseases,49,Cluster 2,Cluster 2,0.4,0,0,11,9,0,88,46,0,0,0,88,0,0,0,0,0,0,Stable
isospora,Infectious Diseases,31,Cluster 3,Cluster 1,0.5,0,0,11,10,0,88,48,0,0,0,88,0,0,0,1,0,0,Stable
sappiniapedata,Infectious Diseases,0,Cluster 1,Cluster 2,0.4,0,0,13,11,0,87,52,0,0,0,87,0,0,0,0,0,0,Transfer
clostridium tetani,Infectious Diseases,0,Cluster 1,Cluster 3,0.1,0,0,12,8,0,88,47,0,0,0,88,0,0,0,0,0,0,Stable
toxoplasmosi,Infectious Diseases,13,Cluster 1,Cluster 1,0.1,0,0,10,8,0,89,45,0,0,0,89,1,0,0,0,0,0,Stable
pneumocystis jirovecii pneumonia,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,10,0,0,89,43,0,0,0,89,0,0,0,0,0,0,Stable
varicella,Infectious Diseases,112,Cluster 2,Cluster 1,0.1,0,0,12,10,0,88,47,0,0,0,88,0,0,0,0,0,0,Stable
burkholderiapseudomallei,Infectious Diseases,11,Cluster 1,Cluster 7,0.1,0,0,11,0,0,88,46,0,0,0,88,1,0,0,0,0,0,Stable
diphtheria,Infectious Diseases,10,Cluster 1,Cluster 1,0,0,0,12,0,0,87,50,0,0,0,87,1,0,0,0,0,0,Transfer
cyanobacterial algal bloom-associated il,Infectious Diseases,0,Cluster 1,Cluster6,0.1,0,0,12,0,0,87,48,0,0,0,87,1,0,0,0,0,0,Stable
elephantiasi,Infectious Diseases,4,Cluster 3,Cluster 1,0.4,0,0,10,8,0,89,43,0,0,0,89,1,0,0,0,0,0,Stable
omsk,Infectious Diseases,0,Cluster 1,Cluster 2,0.1,0,0,12,7,0,88,47,0,0,0,88,0,0,0,0,0,0,Stable
paragonimu,Infectious Diseases,12,Cluster 1,Cluster 1,0,0,0,17,0,0,82,70,0,0,0,82,1,0,0,0,0,0,Stable
lujo,Infectious Diseases,0,Cluster 4,Cluster 1,0.5,0,0,11,1,3,82,82,2,1,0,82,4,0,0,1,0,0,Stable
chikungunya fev,Infectious Diseases,0,Cluster 1,Cluster 2,0.9,0,0,8,1,1,89,48,1,0,0,89,1,0,0,1,0,0,Transfer
listeriosi,Infectious Diseases,0,Cluster 1,Cluster 3,0.5,0,0,9,1,2,85,68,1,1,0,85,4,0,0,1,0,0,Stable
vancomycin-intermediate/resistant staphylococcus aureuss,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,0,2,0,3,82,81,1,1,0,82,12,0,0,0,0,0,Stable
spina,Infectious Diseases,0,Cluster 5,Cluster 5,0,0,0,2,0,3,82,81,1,1,0,82,12,0,0,0,0,0,Stable
francisella,Infectious Diseases,0,Cluster 1,Cluster 6,0.2,0,0,2,1,14,68,188,4,6,3,68,15,0,0,0,0,0,Stable
rat-bit,Infectious Diseases,0,Cluster 2,Cluster 7,0,0,0,0,0,10,76,146,2,4,2,76,14,0,0,0,0,0,Stable
bacillu,Infectious Diseases,0,Cluster 1,Cluster 8,0,0,0,0,0,8,78,130,2,4,2,78,14,0,0,0,0,0,Transfer
opisthorchi,Infectious Diseases,0,Cluster 1,Cluster 9,0,0,0,4,0,4,81,97,1,2,1,81,11,0,0,0,0,0,Stable
vermiculari,Infectious Diseases,31,Cluster 1,Cluster 1,0,0,0,4,0,4,81,97,1,2,1,81,11,0,0,0,0,0,Stable
human papillomaviru,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,0,0,5,80,112,3,2,0,80,15,0,0,0,0,0,Stable
murine typhu,Infectious Diseases,0,Cluster 2,Cluster 4,0,0,0,1,0,3,81,87,2,1,0,81,14,0,0,0,0,0,Stable
vancomycin-intermedi,Infectious Diseases,0,Cluster 1,Cluster 1,0.2,0,0,1,1,15,70,184,6,6,2,70,13,0,0,0,0,0,Stable
typhu,Infectious Diseases,6,Cluster 1,Cluster 2,0,0,0,0,0,7,78,124,2,4,1,78,14,0,0,0,0,0,Transfer
chaga,Infectious Diseases,0,Cluster 1,Cluster 1,0.5,0,0,1,1,14,70,188,4,5,4,70,14,0,0,1,0,0,Stable
roundworm,Infectious Diseases,0,Cluster 2,Cluster 2,0,0,0,1,0,6,80,111,2,2,2,80,12,0,0,0,0,0,Stable
echinococcosi,Infectious Diseases,87,Cluster 3,Cluster 3,0,0,0,1,0,6,80,111,2,2,2,80,12,0,0,0,0,0,Stable
whipworm,Infectious Diseases,1,Cluster 1,Cluster 1,0,0,0,2,0,2,82,81,1,1,0,82,13,0,0,0,0,0,Stable
cryptosporidiosi,Infectious Diseases,28,Cluster 1,Cluster 3,0.4,0,0,15,11,1,82,76,1,0,0,82,2,0,0,0,0,0,Stable
hand diseas,Infectious Diseases,2,Cluster 1,Cluster 1,0.4,0,0,16,12,1,82,75,1,0,0,82,1,0,0,0,0,0,Transfer
chronic traumatic encephalopathi,Infectious Diseases,0,Cluster 1,Cluster 7,7.8,0,0,74,11,7,5,402,2,3,2,5,11,0,0,8,0,0,Stable
meningococc,Infectious Diseases,0,Cluster 2,Cluster 1,0.8,0,0,12,9,0,87,51,0,0,0,87,1,0,0,1,0,0,Stable
yersinia pesti,Infectious Diseases,0,Cluster 1,Cluster6,1.2,0,0,14,9,0,86,57,0,0,0,86,0,0,0,1,0,0,Stable
poxviruss,Infectious Diseases,1,Cluster 1,Cluster 1,2.5,0,0,11,3,1,84,64,0,0,0,84,3,0,0,3,0,0,Stable
clonorchi,Infectious Diseases,14,Cluster 1,Cluster 1,3.9,0,0,10,4,1,85,64,0,0,0,85,4,0,0,4,0,0,Stable
zoonotic diseas,Infectious Diseases,17,Cluster 1,Cluster 2,1.3,0,0,13,9,0,86,57,0,0,0,86,1,0,0,1,0,0,Transfer
sfgr,Infectious Diseases,0,Cluster 2,Cluster 1,0.9,0,0,12,1,0,87,52,0,0,0,87,1,0,0,1,0,0,Stable
flaviviruss,Infectious Diseases,4,Cluster 3,Cluster 2,2.3,0,0,82,3,2,4,397,0,0,1,4,11,0,0,2,0,0,Stable
gonorrhea,Infectious Diseases,1,Cluster 1,Cluster 3,2.7,0,0,24,21,0,74,100,0,0,0,74,1,0,0,3,0,0,Stable
campylobact,Infectious Diseases,3,Cluster 1,Cluster 1,0.1,0,0,16,1,2,77,99,1,1,0,77,4,0,0,0,0,0,Stable
toxoplasma,Infectious Diseases,2,Cluster 1,Cluster 3,3,0,0,87,3,2,3,396,1,1,1,3,7,1,0,3,0,0,Stable
multidrug-resist,Infectious Diseases,46,Cluster 1,Cluster 1,1.4,0,0,76,13,4,6,391,1,2,1,6,11,0,0,1,0,0,Transfer
staphylococcu,Infectious Diseases,2,Cluster 2,Cluster 7,1.1,0,0,12,2,2,84,69,0,1,0,84,2,0,0,1,0,0,Stable
creutzfeldtjakob,Infectious Diseases,0,Cluster 1,Cluster 1,2,0,0,9,3,1,87,50,0,0,0,87,2,0,0,2,0,0,Stable
herp,Infectious Diseases,0,Cluster 1,Cluster6,1.4,0,0,9,2,2,86,62,1,1,0,86,2,0,0,1,0,0,Stable
shiga,Infectious Diseases,34,Cluster 1,Cluster 1,1.9,0,0,8,6,0,90,34,0,0,0,90,1,0,0,2,0,0,Stable
trichinosi,Infectious Diseases,6,Cluster 3,Cluster 2,1.7,0,0,7,3,0,91,32,0,0,0,91,1,0,0,2,0,0,Stable
corpori,Infectious Diseases,0,Cluster 1,Cluster 1,1.7,0,0,6,4,0,92,26,0,0,0,92,1,0,0,2,0,0,Transfer
vaginal candidiasi,Infectious Diseases,0,Cluster 1,Cluster 1,2.1,0,0,16,1,0,81,65,0,0,0,81,1,0,0,2,0,0,Stable
clostridium botulinum,Infectious Diseases,1,Cluster 4,Cluster 2,2.1,0,0,14,1,0,84,57,0,0,0,84,1,0,0,2,0,0,Stable
carbapenem resistant klebsiella pneumonia,Infectious Diseases,0,Cluster 1,Cluster 3,1.5,0,0,7,3,0,90,32,0,0,0,90,2,0,0,2,0,0,Stable
cyclospora,Infectious Diseases,0,Cluster 1,Cluster 4,1.9,0,0,6,1,0,93,24,0,0,0,93,1,0,0,2,0,0,Stable
yeast,Infectious Diseases,0,Cluster 1,Cluster 5,2.2,0,0,6,2,0,92,27,0,0,0,92,1,0,0,2,0,0,Transfer
mycobacterium,Infectious Diseases,0,Cluster 5,Cluster 6,1.5,0,0,8,2,0,89,36,0,0,0,89,1,0,0,2,0,0,Transfer
aspergillu,Infectious Diseases,0,Cluster 1,Cluster 7,1.5,0,0,8,2,1,90,36,0,0,0,90,1,0,0,2,0,0,Death
flu,Infectious Diseases,0,Cluster 2,Cluster 8,2,0,0,8,2,0,88,50,0,0,0,88,3,0,0,2,0,0,Stable
pandemic flu,Infectious Diseases,0,Cluster 1,Cluster 9,1.8,0,0,6,2,1,90,37,1,0,0,90,3,0,0,2,0,0,Transfer
rsv,Infectious Diseases,51,Cluster 1,Cluster 1,0.9,0,0,6,3,0,93,24,0,0,0,93,1,0,0,1,0,0,Stable
thrush,Infectious Diseases,1,Cluster 1,Cluster 2,0.9,0,0,6,3,0,93,28,0,0,0,93,1,0,0,1,0,0,Stable
giardiasi,Infectious Diseases,5188,Cluster 1,Cluster 4,1.5,0,0,13,4,0,85,57,0,0,0,85,1,0,0,2,0,0,Stable
e. coli,Infectious Diseases,0,Cluster 2,Cluster 1,1.5,0,0,14,4,0,84,60,0,0,0,84,1,0,0,2,0,0,Stable
stari,Infectious Diseases,0,Cluster 1,Cluster 2,0.3,0,0,13,11,4,79,98,2,1,0,79,3,0,0,0,0,0,Stable
psoriasi,Infectious Diseases,0,Cluster 1,Cluster 1,0.6,0,0,13,11,3,80,92,2,1,0,80,3,0,0,1,0,0,Transfer
entamoeba histolytica,Infectious Diseases,1,Cluster 1,Cluster 2,0,0,0,11,11,5,80,99,1,2,1,80,3,0,0,0,0,0,Stable
hev,Infectious Diseases,0,Cluster 2,Cluster 3,0.5,0,0,11,8,5,80,99,1,2,1,80,3,0,0,1,0,0,Stable
tropical diseas,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,1,55,54,22,3,483,19,1,2,3,17,0,0,0,0,1,Stable
c. gattii.,Infectious Diseases,67,Cluster 1,Cluster 3,0,0,0,9,7,4,83,88,4,0,0,83,3,0,0,0,0,0,Stable
clonorchiasi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,2,2,0,96,10,0,0,0,96,0,0,0,0,0,0,Stable
hpiv,Infectious Diseases,0,Cluster 1,Cluster 7,7.8,0,0,77,69,2,19,330,0,0,1,19,1,0,0,8,0,0,Transfer
strongyloidiasi,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,6,6,4,88,63,2,1,1,88,2,0,0,0,0,0,Stable
ulcer,Infectious Diseases,17,Cluster 2,Cluster6,0,0,0,7,7,4,86,71,2,1,1,86,2,0,0,0,0,0,Stable
variant creutzfeldt-jakob,Infectious Diseases,144,Cluster 1,Cluster 1,0,0,1,52,34,28,2,517,14,2,9,2,14,1,0,0,0,1,Stable
pediculus humanus cap,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,0,8,8,4,85,78,3,0,1,85,2,0,0,0,0,0,Stable
genital wart,Infectious Diseases,48,Cluster 1,Cluster 1,0,0,0,7,7,4,87,69,2,0,1,87,2,0,0,0,0,0,Stable
gnathostoma,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,14,14,7,76,127,2,3,2,76,3,0,0,0,0,0,Transfer
rickettsia,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,1,55,55,29,2,522,10,10,6,2,11,0,0,0,0,1,Stable
epstein-barr,Infectious Diseases,46,Cluster 1,Cluster 3,0,0,0,7,7,4,88,66,1,1,1,88,1,0,0,0,0,0,Stable
balantidium,Infectious Diseases,0,Cluster 4,Cluster 4,0,0,0,7,4,4,87,67,2,0,1,87,2,0,0,0,0,0,Stable
rmsf,Infectious Diseases,0,Cluster 1,Cluster 5,0,0,0,7,4,4,87,66,2,0,1,87,2,0,0,0,0,0,Stable
tbrf,Infectious Diseases,0,Cluster 1,Cluster 6,0,0,0,13,13,7,76,128,2,3,2,76,3,0,0,0,0,0,Stable
eastern equine enceph,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,1,54,53,28,3,517,9,11,7,3,13,1,0,0,0,1,Transfer
tularemia,Infectious Diseases,0,Cluster 5,Cluster 8,0,0,0,7,7,4,88,66,1,1,1,88,2,0,0,0,0,0,Stable
zoonot,Infectious Diseases,9,Cluster 1,Cluster 9,0,0,0,13,13,7,76,128,2,3,2,76,3,0,0,0,0,0,Stable
relapsing fev,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,1,54,53,28,3,517,9,11,7,3,13,1,0,0,0,1,Stable
lice,Infectious Diseases,15,Cluster 1,Cluster 2,0,0,0,7,7,4,88,66,1,1,1,88,2,0,0,0,0,0,Stable
antibiotic resist,Infectious Diseases,0,Cluster 1,Cluster 4,0,0,1,52,52,28,2,520,10,10,7,2,14,1,0,0,0,1,Stable
jamestown,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,55,52,29,2,524,12,5,11,2,11,0,0,0,0,0,Transfer
leishmaniasi,Infectious Diseases,169,Cluster 1,Cluster 2,0,0,0,7,7,4,87,68,2,0,1,87,1,0,0,0,0,0,Stable
helminth,Infectious Diseases,0,Cluster 2,Cluster 1,0,0,0,14,14,7,76,128,5,1,2,76,3,0,0,0,0,0,Stable
vibrio cholera,Infectious Diseases,39,Cluster 1,Cluster 2,0,0,1,56,56,28,2,520,18,3,6,2,11,0,0,0,0,1,Stable
burnetii,Infectious Diseases,0,Cluster 1,Cluster 3,0,0,0,9,8,3,86,71,2,0,1,86,2,0,0,0,0,0,Stable
hepatitis b,Infectious Diseases,3,Cluster 1,Cluster 1,0,0,0,14,14,7,76,127,2,3,2,76,3,0,0,0,0,0,Stable
pediculus humanuscorpori,Infectious Diseases,23,Cluster 2,Cluster 3,0,0,1,55,55,29,2,522,10,10,6,2,11,0,0,0,0,1,Transfer
shigellosi,Infectious Diseases,0,Cluster 3,Cluster 1,0,0,0,7,7,4,88,65,1,1,1,88,1,0,0,0,0,0,Stable
brucella,Infectious Diseases,0,Cluster 1,Cluster 7,0,0,0,14,14,7,76,127,2,3,2,76,3,0,0,0,0,0,Stable
mycobacterium avium,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,1,55,55,29,2,522,10,10,6,2,11,0,0,0,0,1,Stable
haemophilus influenza,Infectious Diseases,0,Cluster 1,Cluster6,0,0,0,7,7,4,88,65,1,1,1,88,1,0,0,0,0,0,Stable
neisseria,Infectious Diseases,64,Cluster 1,Cluster 1,0,0,0,7,7,4,88,64,1,1,1,88,1,0,0,0,0,0,Stable
typhi,Infectious Diseases,0,Cluster 2,Cluster 2,0,0,1,56,56,26,3,509,11,9,5,3,13,0,0,0,0,1,Transfer
mers-cov,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,8,6,3,87,68,1,1,1,87,2,0,0,0,0,0,Stable
yellow fev,Infectious Diseases,0,Cluster 1,Cluster 1,0,0,0,55,51,26,3,508,11,9,6,3,14,1,0,0,0,0,Stable
zika viru,Infectious Diseases,0,Cluster 1,Cluster 2,0,0,1,56,55,28,2,521,12,10,6,2,11,0,0,0,0,1,Stable
